A_recoverable_norm,E_mode_norm,PiO_mode_norm,alignment_with_negative_Arec,lambda,method,mode,policy,setting,source_visible_norm
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.0,L2,6,PiC0,hidden_u_hurts,0.46330382781737406
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.0,L2,6,Pi0K,hidden_u_hurts,0.46330382781737406
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.0,L2,6,PiCK,hidden_u_hurts,0.46330382781737406
0.15942051929462298,0.00014010606955101984,0.1592853968486896,0.9999999729922451,0.001,L2,0,actual,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.001,L2,0,Pi00,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.001,L2,0,PiC0,hidden_u_hurts,1.3086745454002222
0.15942051929462298,6.6932395311666e-05,0.15935838160788085,0.9999999878202417,0.001,L2,0,Pi0K,hidden_u_hurts,1.3086745454002222
0.15942051929462298,6.6932395311666e-05,0.15935838160788085,0.9999999878202417,0.001,L2,0,PiCK,hidden_u_hurts,1.3086745454002222
0.016939847902615573,3.037146435473098e-05,0.016925826776747383,0.9999987342502807,0.001,L2,1,actual,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.001,L2,1,Pi00,hidden_u_hurts,1.179566679912516
0.016939847902615573,9.39184824568217e-13,0.016939847902397068,1.0000000000000002,0.001,L2,1,PiC0,hidden_u_hurts,1.179566679912516
0.016939847902615573,1.295707727753689e-05,0.016927385402709865,0.9999999780783532,0.001,L2,1,Pi0K,hidden_u_hurts,1.179566679912516
0.016939847902615573,1.295707727753689e-05,0.016927385402709865,0.9999999780783532,0.001,L2,1,PiCK,hidden_u_hurts,1.179566679912516
0.0,0.0,0.0,0.0,0.001,L2,2,actual,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.001,L2,2,Pi00,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.001,L2,2,PiC0,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.001,L2,2,Pi0K,hidden_u_hurts,1.1180339887572193
0.0,0.0,0.0,0.0,0.001,L2,2,PiCK,hidden_u_hurts,1.1180339887572193
0.17753407154173476,0.00016798928473894708,0.17738117966139869,0.999999923082127,0.001,L2,3,actual,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.001,L2,3,Pi00,hidden_u_hurts,1.0491124338579063
0.17753407154173476,1.0963549703322613e-12,0.1775340715414341,1.0,0.001,L2,3,PiC0,hidden_u_hurts,1.0491124338579063
0.17753407154173476,8.965103714778872e-05,0.1774467811942372,0.9999999933703824,0.001,L2,3,Pi0K,hidden_u_hurts,1.0491124338579063
0.17753407154173476,8.965103714778872e-05,0.1774467811942372,0.9999999933703824,0.001,L2,3,PiCK,hidden_u_hurts,1.0491124338579063
0.06589107497652855,0.0001088308910558813,0.06582751616150881,0.9999991003415103,0.001,L2,4,actual,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.001,L2,4,Pi00,hidden_u_hurts,1.0178008433018144
0.06589107497652855,1.4467491681715249e-12,0.06589107497625257,1.0,0.001,L2,4,PiC0,hidden_u_hurts,1.0178008433018144
0.06589107497652855,3.52703743445331e-05,0.06585695441614144,0.9999999908066862,0.001,L2,4,Pi0K,hidden_u_hurts,1.0178008433018144
0.06589107497652855,3.52703743445331e-05,0.06585695441614144,0.9999999908066862,0.001,L2,4,PiCK,hidden_u_hurts,1.0178008433018144
0.1263984541514605,0.00010473002040795588,0.1262963797643981,0.9999999827985426,0.001,L2,5,actual,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.001,L2,5,Pi00,hidden_u_hurts,0.5553390759962502
0.1263984541514605,1.8658242699517025e-13,0.12639845415140755,1.0,0.001,L2,5,PiC0,hidden_u_hurts,0.5553390759962502
0.1263984541514605,9.530833723904217e-05,0.12630381700512033,0.9999999960071151,0.001,L2,5,Pi0K,hidden_u_hurts,0.5553390759962502
0.1263984541514605,9.530833723904217e-05,0.12630381700512033,0.9999999960071151,0.001,L2,5,PiCK,hidden_u_hurts,0.5553390759962502
0.2146119130120162,0.00024642948834668297,0.2143664549721305,0.9999999948066818,0.001,L2,6,actual,hidden_u_hurts,0.46330382781737406
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.001,L2,6,Pi00,hidden_u_hurts,0.46330382781737406
0.2146119130120162,3.100503007300247e-13,0.214611913012159,1.0,0.001,L2,6,PiC0,hidden_u_hurts,0.46330382781737406
0.2146119130120162,0.0001987934715424106,0.21441367872854464,0.9999999975876381,0.001,L2,6,Pi0K,hidden_u_hurts,0.46330382781737406
0.2146119130120162,0.0001987934715424106,0.21441367872854464,0.9999999975876381,0.001,L2,6,PiCK,hidden_u_hurts,0.46330382781737406
0.15942051929462298,0.001391719867719115,0.15807828822647788,0.9999973155754853,0.01,L2,0,actual,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.01,L2,0,Pi00,hidden_u_hurts,1.3086745454002222
0.15942051929462298,2.136817940231098e-12,0.15942051929382411,1.0,0.01,L2,0,PiC0,hidden_u_hurts,1.3086745454002222
0.15942051929462298,0.0006663405457441676,0.1588018329401211,0.9999987905620372,0.01,L2,0,Pi0K,hidden_u_hurts,1.3086745454002222
0.15942051929462298,0.0006663405457441676,0.1588018329401211,0.9999987905620372,0.01,L2,0,PiCK,hidden_u_hurts,1.3086745454002222
