actual_target_risk_change,blind_fraction,control_score_c,curvature_ratio,exact_optimizer_success,exact_target_risk,exposure_posthoc,intervention_family_posthoc,lambda,local_valid,local_vulnerability,method,metric_min_eigenvalue,relevance_squared,shift_id,shift_index,source_optimum_target_risk,steering,steering_class
0.0,0.0,0.6856600483769424,1.0,True,0.30193027287239715,S1,relation,0.0,True,0.0016577899468547964,L2,1.0710950225474327,0.013741337539464145,S1-relation--1-1.0,10,0.30193027287239715,0.0,neutral
0.0,0.0,0.6226742544936366,1.0,True,0.27456004688715907,S1,mean,0.0,True,0.0029584636834928085,L2,1.0710950225474327,0.04376253683272921,S1-mean--1-1.0,11,0.27456004688715907,0.0,neutral
0.0,0.0,0.37903153301099995,1.0,True,0.2221281077877042,S1,relation,0.0,True,0.0012928401976724335,L2,1.0710950225474327,0.008357178883588494,S1-relation-+1-1.0,12,0.2221281077877042,0.0,neutral
0.0,0.0,0.4860028510130237,1.0,True,0.2745600468871592,S1,mean,0.0,True,0.0029584636834928102,L2,1.0710950225474327,0.043762536832729265,S1-mean-+1-1.0,13,0.2745600468871592,0.0,neutral
0.0,0.0,0.8630695322344473,1.0,True,0.30152037463124026,S1,variance,0.0,True,0.0028029189470550045,L2,1.0710950225474327,0.03928177311879963,S1-variance-1.0,14,0.30152037463124026,0.0,neutral
0.0,0.0,0.7211412494579069,1.0,True,0.26219148990611196,S2,relation,0.0,True,0.000336224973717615,L2,1.0710950225474327,0.0005652361647570547,S2-relation--1-0.25,15,0.26219148990611196,0.0,neutral
0.0,0.0,0.5071493165991059,1.0,True,0.2563879247987595,S2,mean,0.0,True,0.0004190430037900382,L2,1.0710950225474327,0.0008779851951268903,S2-mean--1-0.25,16,0.2563879247987595,0.0,neutral
0.0,0.0,0.6965890713945313,1.0,True,0.24999938245136122,S2,relation,0.0,True,0.0003139232234947405,L2,1.0710950225474327,0.0004927389512466441,S2-relation-+1-0.25,17,0.24999938245136122,0.0,neutral
0.0,0.0,0.4989096574808727,1.0,True,0.2563879247987595,S2,mean,0.0,True,0.0004190430037900382,L2,1.0710950225474327,0.000877985195126891,S2-mean-+1-0.25,18,0.2563879247987595,0.0,neutral
0.0,0.0,0.7834861591082698,1.0,True,0.26020800344208705,S2,variance,0.0,True,0.00042434820664085515,L2,1.0710950225474327,0.0009003570023965495,S2-variance-0.25,19,0.26020800344208705,0.0,neutral
0.0,0.0,0.7314574793652026,1.0,True,0.2687129816262478,S2,relation,0.0,True,0.0006954054710858954,L2,1.0710950225474327,0.00241794384608098,S2-relation--1-0.5,20,0.2687129816262478,0.0,neutral
0.0,0.0,0.5197252239152748,1.0,True,0.2576908286515881,S2,mean,0.0,True,0.0008514143878747884,L2,1.0710950225474327,0.0036245322994010055,S2-mean--1-0.5,21,0.2576908286515881,0.0,neutral
0.0,0.0,0.6820554090531951,1.0,True,0.24432876671674641,S2,relation,0.0,True,0.0006062946706013031,L2,1.0710950225474327,0.0018379661379977136,S2-relation-+1-0.5,22,0.24432876671674641,0.0,neutral
0.0,0.0,0.5037578148900681,1.0,True,0.2576908286515882,S2,mean,0.0,True,0.0008514143878747884,L2,1.0710950225474327,0.003624532299401007,S2-mean-+1-0.5,23,0.2576908286515882,0.0,neutral
0.0,0.0,0.7834861591082698,1.0,True,0.26446238336969086,S2,variance,0.0,True,0.0008486964132817115,L2,1.0710950225474327,0.003601428009586209,S2-variance-0.5,24,0.26446238336969086,0.0,neutral
0.0,0.0,0.7488373313963753,1.0,True,0.2826068410520399,S2,relation,0.0,True,0.0014848438948927747,L2,1.0710950225474327,0.011023806961001728,S2-relation--1-1.0,25,0.2826068410520399,0.0,neutral
0.0,0.0,0.5559779493953934,1.0,True,0.26290244406290286,S2,mean,0.0,True,0.0018055244944280933,L2,1.0710950225474327,0.01629959349989912,S2-mean--1-1.0,26,0.26290244406290286,0.0,neutral
0.0,0.0,0.6476849610374783,1.0,True,0.23383841123303728,S2,relation,0.0,True,0.0011299544500850969,L2,1.0710950225474327,0.006383985296335569,S2-relation-+1-1.0,27,0.23383841123303728,0.0,neutral
0.0,0.0,0.5275726325388882,1.0,True,0.26290244406290275,S2,mean,0.0,True,0.0018055244944280935,L2,1.0710950225474327,0.016299593499899127,S2-mean-+1-1.0,28,0.26290244406290275,0.0,neutral
0.0,0.0,0.7834861591082699,1.0,True,0.27297114322489846,S2,variance,0.0,True,0.0016973928265634217,L2,1.0710950225474327,0.014405712038344811,S2-variance-1.0,29,0.27297114322489846,0.0,neutral
0.0,0.0,0.6944444444444444,1.0,True,0.25595362351448325,U,emergent,0.0,True,0.0011311658928522476,L2,1.0710950225474327,0.006397681385761115,U-emergent-0.25,30,0.25595362351448325,0.0,neutral
0.0,0.0,0.6944444444444444,1.0,True,0.25595362351448325,U,emergent,0.0,True,0.002262331785704495,L2,1.0710950225474327,0.02559072554304446,U-emergent-0.5,31,0.25595362351448325,0.0,neutral
0.0,0.0,0.6944444444444444,1.0,True,0.25595362351448325,U,emergent,0.0,True,0.00452466357140899,L2,1.0710950225474327,0.10236290217217783,U-emergent-1.0,32,0.25595362351448325,0.0,neutral
