method,seed,checkpoint,radius,cell,delta_norm,raw_direction_norm,common_alpha,functional_response_norm,source_response_norm,counterfactual_response_norm,clean_response_norm,projected_condition_number,min_eigenvalue,negative_eigenvalue_count,pd_gate,linear_solve_residual,radius_error_half,radius_error_quarter,linearity_gate,resolution_gate,derived_valid,required_cells
IRMv1,14,300,0.001,00,9.090210558669053e-06,5.015667537679078,1.8123630584325753e-06,2.1918428744763528e-05,1.316786444562367e-05,1.625195632638609e-05,6.549716035538875e-06,2.392598718244366,0.0013879273470762427,0.0,True,2.655742100606481e-18,1.9142328605426155e-05,1.9143081638725287e-05,True,True,,
IRMv1,14,300,0.0005,00,4.5451052793345264e-06,5.015667537679078,9.061815292162877e-07,1.0959214478342155e-05,6.583933378581893e-06,8.125977454171731e-06,3.2748578080570536e-06,2.392598718244366,0.0013879273470762427,0.0,True,2.655742100606481e-18,1.9142328605426155e-05,1.9143081638725287e-05,True,True,,
IRMv1,14,300,0.00025,00,2.2725526396672632e-06,5.015667537679078,4.5309076460814383e-07,5.479607008417196e-06,3.29196654910474e-06,4.062988550433457e-06,1.6374288519862188e-06,2.392598718244366,0.0013879273470762427,0.0,True,2.655742100606481e-18,1.9142328605426155e-05,1.9143081638725287e-05,True,True,,
IRMv1,14,300,0.001,01,4.825343940004611e-07,0.26624598849293485,1.8123630584325753e-06,5.968590148467271e-07,3.4763646304518983e-07,4.10224083587872e-07,2.590478226307375e-07,628.8834216351343,-0.18525345985426717,5.0,False,5.5548831409027005e-18,3.903700975443772e-08,7.464922471595936e-08,True,False,,
IRMv1,14,300,0.0005,01,2.4126719700023054e-07,0.26624598849293485,9.061815292162877e-07,2.9842950647253487e-07,1.738182307586827e-07,2.05112041172134e-07,1.2952391113444166e-07,628.8834216351343,-0.18525345985426717,5.0,False,5.5548831409027005e-18,3.903700975443772e-08,7.464922471595936e-08,True,False,,
IRMv1,14,300,0.00025,01,1.2063359850011527e-07,0.26624598849293485,4.5309076460814383e-07,1.492147524436934e-07,8.690911495833087e-08,1.0255601994079254e-07,6.476195532792441e-08,628.8834216351343,-0.18525345985426717,5.0,False,5.5548831409027005e-18,3.903700975443772e-08,7.464922471595936e-08,True,False,,
IRMv1,14,300,0.001,10,0.0009999999999999979,551.765826028727,1.8123630584325753e-06,0.002325097326359835,0.001370057633285408,0.0017678644070310513,0.0006353543081421542,2.392598718244366,0.0013879273470762427,0.0,True,2.0014830212433605e-16,0.0006763498546276406,0.0014981506731244838,True,True,,
IRMv1,14,300,0.0005,10,0.0004999999999999989,551.765826028727,9.061815292162877e-07,0.001162562955674383,0.0006850353176623148,0.0008839510745960824,0.00031766293013520055,2.392598718244366,0.0013879273470762427,0.0,True,2.0014830212433605e-16,0.0006763498546276406,0.0014981506731244838,True,True,,
IRMv1,14,300,0.00025,10,0.00024999999999999946,551.765826028727,4.5309076460814383e-07,0.0005812968399689807,0.0003425192840673622,0.00044199537472912917,0.00015882898009482162,2.392598718244366,0.0013879273470762427,0.0,True,2.0014830212433605e-16,0.0006763498546276406,0.0014981506731244838,True,True,,
IRMv1,14,300,0.001,11,5.647787267985368e-05,31.162560071544746,1.8123630584325753e-06,6.938496366017672e-05,3.968713346902931e-05,4.812010827569989e-05,3.0391771890931527e-05,628.8834216351343,-0.18525345985426717,5.0,False,7.406111315403549e-16,8.293128318897617e-05,0.0002487478411307575,True,False,,
IRMv1,14,300,0.0005,11,2.823893633992684e-05,31.162560071544746,9.061815292162877e-07,3.4692490846742706e-05,1.9843604640105697e-05,2.4060039534246038e-05,1.5195880153812034e-05,628.8834216351343,-0.18525345985426717,5.0,False,7.406111315403549e-16,8.293128318897617e-05,0.0002487478411307575,True,False,,
IRMv1,14,300,0.00025,11,1.411946816996342e-05,31.162560071544746,4.5309076460814383e-07,1.7346269508202003e-05,9.921849962828685e-06,1.2030016116143146e-05,7.597938629104035e-06,628.8834216351343,-0.18525345985426717,5.0,False,7.406111315403549e-16,8.293128318897617e-05,0.0002487478411307575,True,False,,
IRMv1,14,300,0.001,delta_C,,,,0.0023464767881494404,0.0013829309339665492,0.0017837529416527117,0.0006416235596888699,,,,True,,,,True,True,True,"10,00"
IRMv1,14,300,0.001,delta_K,,,,2.19396011799989e-05,1.3140125456721929e-05,1.6294165160538217e-05,6.57140659525191e-06,,,,False,,,,True,False,False,"01,00"
IRMv1,14,300,0.001,delta_interaction,,,,0.0023402166126234975,0.0013840624113755572,0.0017749973108511692,0.0006406009537047091,,,,False,,,,True,False,False,"11,10,01,00"
IRMv1,14,300,0.0005,delta_C,,,,0.0011732526304058459,0.0006914719685415069,0.0008918952560630964,0.0003207976054893678,,,,True,,,,True,True,True,"10,00"
IRMv1,14,300,0.0005,delta_K,,,,1.0969800639173594e-05,6.570063801160833e-06,8.147081868197372e-06,3.285703082260945e-06,,,,False,,,,True,False,False,"01,00"
