method,lambda,source_design,valid,norm_z0,pi_O_operator_norm,A_irreducible_operator_norm,A_recoverable_operator_norm,E_operator_norm,decomposition_residual,affine_regret,information_floor,total_excess,min_local_metric_eigenvalue,condition_number,fd_error_max,fd_errors,factorization_residual,spectral_slack_min_eigenvalue,seed,status
VREX,0.1,declared_source_target_coupled_correlation,True,0.0019415896063431615,2.2216629694074372,0.0,9.528094880376322,10.096129120050877,0.0,50.97293607632809,0.0,50.97293607632809,0.0022611337890773276,12495.74911049852,3.464539276382779e-06,"[3.464539276382779e-06, 8.661352749051432e-07, 2.1653484056157517e-07]",0.0,-101.93182320873935,1,PASS
ERM,0.0,mechanism_defined_hidden,True,0.0,2.2424699733242814,6.7373805017029245,9.528094880376322,10.102457152871182,0.0,72.96053461583962,22.696148012363373,50.26438660347625,0.002260710454978657,12498.57458843543,4.396485725527243e-06,"[4.396485725527243e-06, 1.0991200142420612e-06, 2.74781870217123e-07]",0.0,-100.52877320695238,1,PASS
L2,0.001,mechanism_defined_hidden,True,0.1701130944338808,2.3039903497579317,6.7373805017029245,9.528094880376322,10.13951621296842,0.0,73.52996483219032,22.696148012363373,50.83381681982694,0.0032607104549786598,8665.798032224087,3.9795730965792645e-06,"[3.9795730965792645e-06, 9.948912717607357e-07, 2.48725392526799e-07]",0.0,-101.20457259026911,1,PASS
L2,0.01,mechanism_defined_hidden,True,0.7116707603324699,2.5327445022644888,6.7373805017029245,9.528094880376322,10.29194229232248,0.0,75.9211936540223,22.696148012363373,53.22504564165893,0.012260710454978663,2305.385022197374,2.5676146024336254e-06,"[2.5676146024336254e-06, 6.419031234729265e-07, 1.6047713154052167e-07]",0.0,-104.03915003418498,1,PASS
L2,0.1,mechanism_defined_hidden,True,1.333009089021607,2.687453818561429,6.7373805017029245,9.528094880376322,10.377943816087075,0.0,78.58791865846337,22.696148012363373,55.89177064609999,0.1022607104549787,277.2879057679775,1.0871448342495562e-06,"[1.0871448342495562e-06, 2.717856539495176e-07, 6.794570119964025e-08]",0.0,-105.60839471651346,1,PASS
IRMV1,0.001,mechanism_defined_hidden,True,0.00035705448082928816,2.241721099078961,6.7373805017029245,9.528094880376322,10.101982479448566,0.0,72.9590430978261,22.696148012363373,50.26289508546272,0.0022608491764281227,13026.236757631905,4.362923499630787e-06,"[4.362923499630787e-06, 1.0907288822873893e-06, 2.726840307009623e-07]",0.0,-100.52007894679659,1,PASS
IRMV1,0.01,mechanism_defined_hidden,True,0.003471263104937664,2.2354640475209195,6.7373805017029245,9.528094880376322,10.099488711383355,0.0,72.96016399596985,22.696148012363373,50.26401598360648,0.0022609800113280033,17911.803876969025,4.0252578365908785e-06,"[4.0252578365908785e-06, 1.0063114466696376e-06, 2.515781963889059e-07]",0.0,-100.47885612289247,1,PASS
IRMV1,0.1,mechanism_defined_hidden,True,0.03337114056074869,2.270030241954017,6.7373805017029245,9.528094880376322,10.096212968837136,0.0,73.14111139142612,22.696148012363373,50.44496337906275,0.0022530710720270537,69002.948817527,2.9029333796960737e-06,"[2.9029333796960737e-06, 7.257347578610612e-07, 1.8143453665685713e-07]",0.0,-100.48639020401265,1,PASS
VREX,0.001,mechanism_defined_hidden,True,1.9557107614850654e-05,2.2422524842006584,6.7373805017029245,9.528094880376322,10.102392656936765,0.0,72.96009766407033,22.696148012363373,50.26394965170696,0.0022607147306241446,12498.546000238473,4.385154818656866e-06,"[4.385154818656866e-06, 1.0962865154092866e-06, 2.7407491915736096e-07]",0.0,-100.5277594354465,1,PASS
VREX,0.01,mechanism_defined_hidden,True,0.0001954415592165293,2.2403037856273764,6.7373805017029245,9.528094880376322,10.1018133181203,0.0,72.9561731019003,22.696148012363373,50.26002508953693,0.0022607531725969496,12498.289012405401,4.284898123241233e-06,"[4.284898123241233e-06, 1.071222965000371e-06, 2.678077474543951e-07]",0.0,-100.51865291071225,1,PASS
