adaptive_condition_holds,alpha,audit_mode,cross_E_irr_star_norm,cross_irr_E_star_norm,gram_sum_residual,kind,lambda,method,psd_min_gap,recoverable_exact,seed,setting,slack_ratio,support_compatible
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,7.666467083416871e-20,cmnist_irmv1_source_only,0.001,VREX,-12.488170621340773,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,VREX,-12.487612965660047,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,2.168404344971009e-19,cmnist_irmv1_source_only,0.1,VREX,-12.482122827313466,False,8,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.0,L2,-12.2180335682708,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,L2,-12.195023751814663,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,L2,-12.193685095967064,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,L2,-12.085990208718965,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.3552527156068805e-20,cmnist_irmv1_source_only,0.001,IRMV1,-12.217976762204076,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,IRMV1,-12.217471587953494,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.1,IRMV1,-12.212934932779204,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.001,VREX,-12.217973601058846,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,0.0,cmnist_irmv1_source_only,0.01,VREX,-12.21743475220341,False,9,source_only_common_projection_irmv1,inf,False
False,0.0,source_only_fast_world_space_no_coordinate_transport,0.0,0.0,1.3552527156068805e-20,cmnist_irmv1_source_only,0.1,VREX,-12.212130647850822,False,9,source_only_common_projection_irmv1,inf,False
