method,seed,semantic_direction,horizon,finite_alpha,logical_checkpoint,legacy_checkpoint_key,state_gate_pass,outcome_norm,outcome_source_norm,outcome_counterfactual_norm,outcome_clean_norm,A_norm,O_norm,R_norm,A_rank,O_rank,G_0_0,G_0_1,G_0_2,G_1_0,G_1_1,G_1_2,G_2_0,G_2_1,G_2_2
CORAL,14,source_env1_color,20,0.1,300,299,True,11.741931915283203,6.98092794418335,9.375082015991211,1.116889238357544,1.3754181923653352,1.0357320322857564,121.82276916503906,5,3,,,,14674.990234375,14840.791015625,1664.9267578125,,,
CORAL,14,source_label_noise,20,0.1,300,299,True,13.063499450683594,7.352623462677002,9.27362060546875,5.531176567077637,1.4100781107212639,0.17338997862022482,141.791259765625,5,3,,,,,,,1754.181396484375,1664.9267578125,20104.767578125
IRMv1,14,source_env0_color,20,0.1,300,299,True,4.7417402267456055,2.949735164642334,3.268636465072632,1.7604485750198364,0.9649772632058755,0.8445356539055261,39.7344970703125,5,3,1578.830078125,-788.7334594726562,-63.06554412841797,,,,,,
IRMv1,14,source_env1_color,20,0.1,300,299,True,1.8724985122680664,1.1864666938781738,1.344077467918396,0.5403733253479004,0.9654062566131091,0.8556002364191977,20.138517379760742,5,3,,,,-788.7334594726562,405.5598449707031,-182.61599731445312,,,
IRMv1,14,source_label_noise,20,0.1,300,299,True,5.750026702880859,3.3994998931884766,4.591931343078613,0.648360550403595,1.6229363161001298,0.5480166291912896,70.40599060058594,5,3,,,,,,,-63.06554412841797,-182.61599731445312,4957.00390625
VREX,14,source_env0_color,20,0.1,300,299,True,1.6246076822280884,1.029254674911499,1.2052503824234009,0.3568716049194336,0.984693624204001,0.549952468556671,18.301176071166992,5,3,334.9331359863281,-334.9656066894531,-14.660429000854492,,,,,,
VREX,14,source_env1_color,20,0.1,300,299,True,4.41083288192749,2.7430028915405273,3.380988359451294,0.7073141932487488,0.9729339077857726,0.5494294549432088,18.327743530273438,5,3,,,,-334.9656066894531,335.90631103515625,17.485107421875,,,
VREX,14,source_label_noise,20,0.1,300,299,True,0.38151463866233826,0.21116240322589874,0.2683510184288025,0.17015157639980316,1.3496498655298066,0.17975053093589538,3.9431397914886475,5,3,,,,,,,-14.660429000854492,17.485107421875,15.548351287841797
FISHR,14,source_env0_color,20,0.1,300,299,True,0.687129020690918,0.42962750792503357,0.5226097702980042,0.1201891377568245,0.9729298689972822,0.12417656401608082,30.04037094116211,5,3,902.424072265625,-825.9525756835938,7.555563449859619,,,,,,
FISHR,14,source_env1_color,20,0.1,300,299,True,2.2898802757263184,1.4333746433258057,1.76022469997406,0.3009953498840332,0.9667913549656317,0.12422371665414102,27.49698257446289,5,3,,,,-825.9525756835938,756.083740234375,-6.900356292724609,,,
FISHR,14,source_label_noise,20,0.1,300,299,True,0.10210893303155899,0.05455147102475166,0.07755769789218903,0.0378836952149868,1.3092085863754936,0.10407598914352353,1.0894107818603516,5,3,,,,,,,7.555563449859619,-6.900356292724609,1.1868160963058472
